,Player,Goals,Apps,Ratio,First,Last,Club(s) (goals/apps)
66,Antonio Cassano,111,399,0.28,1999,2017,"Bari (5/47), Roma (39/118), Sampdoria (36/120), Milan (7/33), Internazionale (7/28), Parma (17/53)"
67,Lorenzo Bettini,110,271,0.41,1952,1963,"Palermo (8/20), Roma (9/15), Udinese (67/157), Lazio (15/42), Internazionale (9/24), Modena (2/13)"
68,Carlo Galli,110,305,0.36,1949,1966,"Palermo (16/45), Roma (40/94), Milan (47/112), Udinese (0/8), Genoa (3/8), Lazio (4/38)"
69,Giovanni Ferrari,110,315,0.35,1929,1942,"Alessandria (17/26), Juventus (68/166), Internazionale (23/108), Bologna (2/15)"
71,Giuseppe Baldini,110,346,0.32,1939,1955,"Fiorentina (8/51), Internazionale (6/25), Sampdoria (71/185), Genoa (6/31), Como (19/54)"
72,Angelo Schiavio,109,179,0.61,1929,1938,Bologna
73,Bruno Giordano,109,317,0.34,1975,1992,"Lazio (67/163), Napoli (23/78), Ascoli (12/43), Bologna (7/33)"
74,Aldo Boffi,108,163,0.66,1936,1945,Milan
75,Eddie Firmani,108,194,0.56,1955,1963,"Sampdoria (52/83), Internazionale (48/82), Genoa (8/29)"
77,Dino Da Costa,107,281,0.38,1955,1966,"Roma (71/149), Fiorentina (7/30), Atalanta (18/51), Juventus (11/51)"
78,Antonio Vojak,106,208,0.51,1929,1937,"Napoli (102/190), Genoa (4/17), Lucchese (0/1)"
79,Pietro Anastasi,105,339,0.31,1967,1981,"Varese (11/29), Juventus (78/206), Internazionale (7/46), Ascoli (9/58)"
80,Gino Armano,105,401,0.26,1946,1959,"Alessandria (8/57), Internazionale (72/255), Torino (25/89)"
81,Gino Cappello,104,300,0.35,1940,1956,"Milan (29/74), Bologna (75/226)"
83,Fabrizio Miccoli,103,259,0.4,2002,2013,"Perugia (9/34), Juventus (8/25), Fiorentina (12/35), Palermo (74/165)"
84,Adrian Mutu,103,271,0.38,1999,2012,"Internazionale (0/10), Hellas Verona (16/57), Parma (18/31), Juventus (7/33), Fiorentina (54/112), Cesena (8/28)"
86,Sergio Clerici,103,335,0.31,1960,1978,"Lecco (7/61), Bologna (19/75), Atalanta (9/26), Hellas Verona (18/54), Fiorentina (20/52), Napoli (29/56), Lazio (1/11)"
87,Oliver Bierhoff,102,219,0.47,1991,2003,"Ascoli (2/17), Udinese (57/86), Milan (36/90), Chievo (7/26)"
88,Tommaso Rocchi,102,322,0.32,2002,2013,"Empoli (17/66), Lazio (82/243), Internazionale (3/13)"
89,Pietro Paolo Virdis,102,365,0.28,1974,1991,"Cagliari (11/64), Juventus (17/75), Udinese (12/45), Milan (54/135), Lecce (8/46)"
90,Goran Pandev,101,492,0.21,2001,2022,"Ancona (1/20), Lazio (48/159), Internazionale (5/45), Napoli (19/92), Genoa (28/176)"
91,Pierino Prati,100,233,0.43,1966,1978,"Milan (72/143), Roma (28/82), Fiorentina (0/8)"
92,Marek Hamšík,100,409,0.24,2004,2019,"Brescia (0/1), Napoli (100/408)"
